run_id,corruption,level,s/test/sel_acc,s/test/acc
1,gaussian_blur,1,97.88179583847524,92.80999898910522
2,gaussian_blur,1,98.06635359227656,92.39999651908876
3,gaussian_blur,1,97.95199572443964,92.1999990940094
4,gaussian_blur,1,97.90671389698984,92.32999682426453
1,gaussian_blur,2,78.38993992805482,53.74000072479248
2,gaussian_blur,2,78.62959161698818,53.83999943733215
3,gaussian_blur,2,78.87698656618595,54.089999198913574
4,gaussian_blur,2,73.5561607658863,48.52999746799469
1,gaussian_blur,3,39.74387132227421,25.65000057220459
2,gaussian_blur,3,40.77692346572876,25.200000405311584
3,gaussian_blur,3,40.13809569478035,25.509998202323914
4,gaussian_blur,3,31.65393698215485,20.179998874664307
1,gaussian_blur,4,28.565855905413628,20.12999951839447
2,gaussian_blur,4,31.663760335743422,20.749999582767487
3,gaussian_blur,4,29.436299991607665,20.739999413490295
4,gaussian_blur,4,23.47657365947962,16.030000150203705
1,gaussian_blur,5,24.395699027180672,18.140000104904175
2,gaussian_blur,5,27.955576260387897,19.05999928712845
3,gaussian_blur,5,26.666512741148473,19.129998981952667
4,gaussian_blur,5,22.082003258168697,14.409999549388884
1,pixelate,1,97.58089786171914,91.1199986934662
2,pixelate,1,97.16088720560074,90.49999713897704
3,pixelate,1,97.0226621568203,90.77000021934508
4,pixelate,1,97.34665369391442,90.75999855995178
1,pixelate,2,95.592254909873,86.44999861717224
2,pixelate,2,94.41608689129352,84.46999788284302
3,pixelate,2,94.91144365370272,85.4699969291687
4,pixelate,2,94.6612076252699,84.71999764442444
1,pixelate,3,92.96175062954426,81.66999816894531
2,pixelate,3,91.55088487565516,79.83999848365784
3,pixelate,3,92.1569211512804,80.73999881744385
4,pixelate,3,91.76835113465786,80.33999800682068
1,pixelate,4,82.48656742572784,66.71000123023987
2,pixelate,4,79.84802124202251,64.20999765396118
3,pixelate,4,81.64432773590087,66.03999733924866
4,pixelate,4,78.1982361882925,62.95999884605408
1,pixelate,5,67.5733789384365,50.73999762535095
2,pixelate,5,63.18351050019264,47.08999991416931
3,pixelate,5,65.08172917366028,49.5199978351593
4,pixelate,5,60.57969023287296,45.75999975204468
1,shot_noise,1,96.02655472755433,86.82999610900879
2,shot_noise,1,96.19147535562516,87.04999685287476
3,shot_noise,1,96.06858828961848,87.15999722480774
4,shot_noise,1,96.54585307240488,87.22999691963196
1,shot_noise,2,93.1577288746834,79.24000024795532
2,shot_noise,2,93.77753465771676,80.84999918937683
3,shot_noise,2,93.74720000624656,81.13999962806702
4,shot_noise,2,93.60002228021622,80.44999837875366
1,shot_noise,3,80.89466594457626,62.41999864578247
2,shot_noise,3,81.90588235259057,62.459999322891235
3,shot_noise,3,82.5368524223566,64.37000036239624
4,shot_noise,3,81.39058131873608,62.38999962806702
1,shot_noise,4,74.18090793788433,54.6999990940094
2,shot_noise,4,74.03367453217507,54.339998960494995
3,shot_noise,4,76.65058522820473,57.94000029563904
4,shot_noise,4,74.04153821766377,55.03000020980835
1,shot_noise,5,61.05626394748688,43.72999966144562
2,shot_noise,5,60.48116213083267,42.87000000476837
3,shot_noise,5,62.65757695734501,45.60999870300293
4,shot_noise,5,58.7532127648592,42.419999837875366
1,speckle_noise,1,96.0366722881794,86.46000027656555
2,speckle_noise,1,96.32148009836672,87.27999925613403
3,speckle_noise,1,96.3903262257576,87.89999485015869
4,speckle_noise,1,96.34115844368937,87.14999556541443
1,speckle_noise,2,91.44559835791588,75.97000002861023
2,speckle_noise,2,92.14533703923226,76.96999907493591
3,speckle_noise,2,91.87079104185104,77.62999534606934
4,speckle_noise,2,92.02405961751938,76.91999673843384
1,speckle_noise,3,87.90821729004384,70.60999870300293
2,speckle_noise,3,87.90553588569165,71.13999724388123
3,speckle_noise,3,88.68645166754723,72.45000004768372
4,speckle_noise,3,88.27704248130321,71.20999693870544
1,speckle_noise,4,78.27606973350048,59.2199981212616
2,speckle_noise,4,79.13434925079346,59.11999940872192
3,speckle_noise,4,79.88665609955788,60.600000619888306
4,speckle_noise,4,78.75924449563027,59.50999855995178
1,speckle_noise,5,68.11808984279632,48.87000024318695
2,speckle_noise,5,67.067650988698,47.439998388290405
3,speckle_noise,5,69.33603785336018,49.96999800205231
4,speckle_noise,5,66.75623434185982,48.49999845027923
