run_id,seed,dataset,ctx_dataset,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
wvvg6xvk,211,fmnist,whitenoise,0.940400004386902,99.22509002685548,0.2616298794746399,0.04145406168103218
dnqim9rw,173,fmnist,whitenoise,0.9396999478340148,99.23613739013672,0.25061845779418945,0.03886236426234246
rzessbug,157,fmnist,whitenoise,0.9406999945640564,99.21918487548828,0.24352899193763733,0.03776686135977507
6hjt1exm,53,fmnist,whitenoise,0.9391999840736388,99.18682098388672,0.26268768310546875,0.04116621828973294
rpnyql44,5,fmnist,whitenoise,0.9405999779701232,99.2160873413086,0.25130295753479004,0.039394097068905835
1bzfz3z9,53,fmnist,kmnist,0.9422999620437622,99.22794342041016,0.24763880670070648,0.038325318993628024
fq3xlslo,157,fmnist,kmnist,0.9368000030517578,99.1650848388672,0.26404833793640137,0.04256309016942978
lbp7opmg,211,fmnist,kmnist,0.9387999773025512,99.1958999633789,0.266556054353714,0.04255993835031987
x3b9rwfj,173,fmnist,kmnist,0.9404999613761902,99.18950653076172,0.2632892429828644,0.041099334755539896
6r7cpmu0,5,fmnist,kmnist,0.9382999539375304,99.1692886352539,0.2646567225456238,0.04186906367540359
sbcg7wae,211,fmnist,fmnist,0.9386999607086182,99.19371795654295,0.270826518535614,0.04294970153719187
kmmcarrb,173,fmnist,fmnist,0.9372999668121338,99.1689682006836,0.2689892649650574,0.04249083685278893
a4pec0tk,157,fmnist,fmnist,0.9387999773025512,99.20722198486328,0.2633342444896698,0.04111363843530416
meiizrnd,53,fmnist,fmnist,0.9384999871253968,99.1131362915039,0.2738747000694275,0.04193847612142563
ktg5guvu,5,fmnist,fmnist,0.936199963092804,99.10857391357422,0.28885483741760254,0.046320522367954246
dddzv77j,211,cifar10,whitenoise,0.9514999985694884,99.41187286376952,0.20224283635616305,0.030437748146057132
5bqp90mv,173,cifar10,whitenoise,0.9488999843597412,99.28073120117188,0.21610260009765625,0.03386770260632038
ethhemat,157,cifar10,whitenoise,0.9478999972343444,99.26016235351562,0.2179071754217148,0.03099866231009364
1jxnkjk2,53,cifar10,whitenoise,0.9501999616622924,99.34830474853516,0.20993807911872864,0.03362629097700119
ivx074x1,5,cifar10,whitenoise,0.946299970149994,99.32345581054688,0.21689674258232117,0.03454380626827478
2nlfsq1j,211,cifar10,cifar100,0.9535999894142152,99.4001235961914,0.1903560757637024,0.026793550634384156
exxekvt6,173,cifar10,cifar100,0.9530999660491944,99.45819091796876,0.18270312249660492,0.026624453873932363
15xtdetp,157,cifar10,cifar100,0.9529999494552612,99.37747192382812,0.19635550677776337,0.028000385099702485
ax99zeb9,53,cifar10,cifar100,0.9553999900817872,99.40771484375,0.1834387332201004,0.02496581385941348
sri7upoa,5,cifar10,cifar100,0.9490999579429626,99.40481567382812,0.19684360921382904,0.029459883353114127
nl9vnbar,211,cifar10,cifar10,0.9529999494552612,99.2968292236328,0.18887057900428772,0.027802692759037018
x5t9v04k,173,cifar10,cifar10,0.9532999992370604,99.36553955078124,0.1906668096780777,0.028822531080245968
rcyb2h81,157,cifar10,cifar10,0.9527999758720398,99.38365936279295,0.19124455749988556,0.027727676782011983
6tto3guf,53,cifar10,cifar10,0.9527999758720398,99.38544464111328,0.183664470911026,0.026285341084003447
j7cgj27l,5,cifar10,cifar10,0.9519999623298644,99.34103393554688,0.18597166240215304,0.02761137414574623
